x,y,group
168,64,A
187,70,A
141,16,A
168,20,A
175,36,A
168,64,A
133,70,A
68,1,A
50,24,A
30,20,A
60,74,A
30,20,A
66,3,A
27,61,A
30,20,A
26,29,A
190,71,A
19,49,A
30,64,A
8,75,A
25,50,A
45,3,A
21,46,A
61,13,A
173,82,A
144,60,A
1,22,A
22,44,A
30,20,A
24,7,A
67,32,A
30,64,A
60,52,A
34,61,A
163,64,A
26,49,A
30,64,A
30,20,A
63,61,A
25,57,A
14,22,A
30,20,A
18,36,A
20,44,A
22,41,A
13,37,A
24,57,A
9,72,A
168,64,A
179,44,A
158,21,A
179,43,A
99,42,A
1,27,A
150,57,A
79,64,A
168,40,A
99,42,A
164,27,A
99,42,A
111,4,A
18,78,A
168,64,A
119,64,A
127,63,A
177,48,A
151,25,A
180,50,A
140,79,A
168,64,A
150,57,A
168,20,A
79,20,A
69,42,A
179,42,A
156,9,A
184,27,A
168,20,A
23,36,A
25,57,A
190,69,A
168,64,A
165,46,A
197,25,A
42,30,A
24,32,A
30,20,A
27,61,A
25,47,A
28,52,A
62,78,A
22,40,A
21,49,A
34,45,A
30,20,A
30,70,A
17,49,A
25,43,A
15,61,A
28,37,A
57,25,A
30,20,A
77,82,A
40,47,A
15,35,A
56,4,A
119,20,A
123,3,A
169,54,A
168,64,A
25,39,A
30,20,A
29,24,A
18,46,A
19,38,A
167,49,A
136,10,A
193,66,A
27,67,A
168,20,A
135,27,A
14,3,A
125,77,A
119,64,A
176,29,A
21,54,A
3,44,A
55,67,A
28,56,A
22,30,A
27,32,A
0,44,A
41,40,A
85,82,A
30,64,A
197,51,A
175,35,A
177,47,A
121,82,A
20,42,A
19,45,A
168,32,A
196,25,A
135,54,A
46,28,A
99,42,A
31,3,A
30,20,A
38,39,A
168,64,A
50,3,A
28,42,A
45,36,A
30,64,A
21,43,A
30,20,A
16,4,A
36,39,A
28,42,A
30,20,A
26,45,A
26,72,A
27,40,A
30,64,A
29,73,A
27,41,A
24,30,A
30,22,A
31,50,A
21,44,A
39,67,A
99,42,A
180,37,A
168,64,A
196,29,A
41,59,A
21,56,A
30,64,A
66,56,A
49,74,A
165,24,A
168,64,A
196,55,A
181,49,A
84,58,A
30,64,A
65,2,A
51,3,A
3,32,A
17,34,A
89,80,A
30,20,A
38,16,A
49,44,A
31,61,A
99,42,A
176,47,A
27,41,A
56,83,A
179,33,A
177,38,A
173,14,A
20,48,A
23,41,A
165,44,A
159,43,A
194,53,A
